x,y,z,qx,qy,qz,qw
0.20847603796213193,-0.0014780710063758075,0.0868230437394609,0.0009283826377530254,0.022218258221634188,0.033939752982259645,0.9991764510209284
0.18804786590810285,0.00371472332331655,0.15247509574854595,-0.00044334448178195735,-0.056728370938519165,0.03389351623000929,0.9978140733292442
0.19037181493445132,-0.00436262005004441,0.1956382094561549,-0.006890786009182652,-0.5888638899246913,-0.01284933587769283,0.8081006934648917
0.1826958592268244,-0.07344408384374444,0.2686701272695813,-0.07144223608478156,-0.6521724923855944,-0.26713945228428476,0.7058353633192521
0.24582881147522928,-0.1286315691242032,0.25726659216039344,-0.12325446635756959,-0.6265277148614131,-0.2718596857756415,0.7199747705881199
0.2865863121427344,-0.14005031132726284,0.22390147692715762,-0.21862941458509055,-0.6770077906475177,-0.14065576039824382,0.68853292408391
0.31566460097714394,-0.15871207071828686,0.18351330142626346,-0.2520103061531809,-0.6823653910715474,-0.11354154728481079,0.6767396808969643
0.2742175874455012,-0.11732422605972581,0.2164513172143228,-0.13829777229757775,-0.6087507513330846,-0.18442652783621724,0.7591331271649324
0.19164576146471513,-0.023565783559063504,0.17392935750478078,-0.029361424878338017,-0.39289928075241315,-0.07093882770919485,0.9163709645316112
0.05881205813733662,0.10817034507705077,0.12422976583754297,0.2688591966580787,-0.32165354242060823,0.580396104081224,0.6981361567688523
