x,y,z,qx,qy,qz,qw
0.23413650605328168,-0.02976158240245229,0.08420861134192545,-0.0033133429784490023,-0.02586642420199626,-0.022792862068038575,0.9994000376706301
0.20671938457122002,-0.019056889420725226,0.13252362274070006,-0.01372365940300799,-0.15902735177618343,-0.02553594436710069,0.9868484575176295
0.21296796554909525,-0.017598233896951653,0.14497887879265609,-0.01688039587814607,-0.6616280384941448,-0.05556532713260774,0.7475800193517975
0.22143118455215394,-0.030422216700209066,0.22731600568240318,0.5370681227624072,0.6944719338145725,-0.22709537498825272,-0.42153796426331136
0.2835081491640426,-0.05512436876060749,0.25772111353731497,0.5675427673862542,0.6356670846417948,-0.2545194936932118,-0.45721153968453665
0.2974661705379815,-0.049977154404212916,0.25919869963272696,-0.5062129600871303,-0.6194736817872621,0.2849752813893409,0.5280055734647365
0.29775443930012135,-0.05168235872729021,0.22700913572570935,-0.5366518969103151,-0.5447318953328733,0.3540100634317592,0.5384689208660586
0.24422904184622402,-0.05062727955967788,0.1989687836011853,-0.5612560333265088,-0.48922725392147287,0.3840863844595908,0.5460091650767476
0.1597442544558261,-0.01096404435517511,0.18938730104566753,-0.060922133801823146,-0.49315096527303687,0.029460736779501288,0.8673077216603768
0.07978678033288525,0.09428201804954704,0.1424422046894261,0.19806068483228725,-0.39367108124199746,0.5759754559649171,0.6885109432997618
