x,y,z,qx,qy,qz,qw
0.21085822757247225,0.0024620386681208964,0.1053640007386933,0.007615109376630098,-0.10919790682855761,-0.053896720043932395,0.9925285743100546
0.18023807174599926,0.002425863287998205,0.16961086422920357,0.016142427120283354,-0.31982471335960394,-0.03031566422728901,0.9468540200440466
0.19727954131092396,0.053236527864074616,0.15287429807793265,0.11805599662704463,-0.5667777532387456,0.09749462394947411,0.8095187202251628
0.2365377435065084,0.08599502743919459,0.1791615546562065,0.5955571525916363,-0.4874312920604127,-0.2913389375205528,0.5681936615289322
0.2821499422778761,0.10900298946198503,0.1702188087272118,0.7516876041529564,-0.44996417944256595,-0.2760472650105597,0.3953427506121196
0.31843481894929365,0.1121220661757446,0.13354863625104274,0.6981941757123418,-0.43708565975318175,-0.33380775191272705,0.4583158341171084
0.30444018221891767,0.10367260027693868,0.09492471547460318,0.6483554020017055,-0.4100500699694504,-0.3800419696088039,0.5167807215339182
0.3043916399815767,0.10742818276278167,0.09864811951320354,0.6617401058567487,-0.40793336080547965,-0.3722837867992621,0.5070455477854496
0.185581239732801,0.049542842793833454,0.1378588232671883,0.15492011238910766,-0.48675400504792393,0.016002430024183886,0.8595430295107238
0.06027111169198978,-0.10288931962477318,0.16213295966496788,-0.23773009290782876,-0.40628008514449965,-0.6536043563696252,0.5926400599652888
